attribute,count,mean,std,min,5%,50%,95%,max,missing_values
Duration,14418.0,4.339999768807509,1.7352292528172928,0.06666666666666667,2.3333333333333335,4.133333333333334,6.916666666666667,33.63333333333333,0
Danceability,14418.0,0.5030630531280345,0.14261851485770663,0.0,0.26285000000000003,0.509,0.73,0.987,0
Energy,14418.0,0.6565626860868359,0.2296074573431505,0.0,0.231,0.6904999999999999,0.956,0.998,0
Key,14418.0,5.166597308919406,3.503422689203065,0.0,0.0,5.0,11.0,11.0,0
Loudness,14418.0,-9.438675405742822,4.1796231681535305,-60.0,-16.5773,-8.810500000000001,-4.040700000000001,-0.203,0
Speechiness,14418.0,0.05135387016229713,0.04629092803096542,0.0,0.0269,0.039,0.11,0.952,0
Acousticness,14418.0,0.2269244740983493,0.2688572803477682,0.0,0.00027385,0.104,0.821,0.995,0
Instrumentalness,14418.0,0.08968238793799418,0.21578344721639828,0.0,0.0,0.000737,0.716,0.992,0
Liveness,14418.0,0.21065328755722013,0.18053654524206042,0.0,0.0555,0.14,0.616,1.0,0
Valence,14418.0,0.5288180198363157,0.24355694097566655,0.0,0.136,0.529,0.921,0.991,0
Tempo,14418.0,122.64161964211402,27.940742918538337,0.0,79.73585,121.859,174.56244999999998,238.895,0
Popularity,14418.0,25.394437508669718,15.090859896981977,0.0,5.0,23.0,54.0,91.0,0
