attribute,count,mean,std,min,max,5%,95%,missing_values
sofifa_id,19239.0,231468.08695878164,27039.717497127018,41.0,264640.0,184133.9,263046.1,0.0
overall,19239.0,65.77218150631529,6.880231506861689,47.0,93.0,54.0,77.0,0.0
potential,19239.0,71.07937002962731,6.0862131012609,49.0,95.0,62.0,82.0,0.0
value_eur,19165.0,2850451.813201148,7613699.947458978,9000.0,194000000.0,180000.0,11500000.0,74.0
wage_eur,19178.0,9017.989362811555,19470.176723602686,500.0,350000.0,500.0,37149.99999999782,61.0
age,19239.0,25.210821768283175,4.748235247092781,16.0,54.0,18.0,34.0,0.0
height_cm,19239.0,181.29970372680492,6.863179177196187,155.0,206.0,170.0,193.0,0.0
weight_kg,19239.0,74.94303238214044,7.069434064186432,49.0,110.0,64.0,87.0,0.0
club_team_id,19178.0,50580.4981228491,54401.86853481683,1.0,115820.0,44.0,113301.0,61.0
league_level,19178.0,1.3543643758473252,0.7478651440250982,1.0,5.0,1.0,3.0,61.0
club_jersey_number,19178.0,20.945249765356138,17.909369141981372,1.0,99.0,2.0,54.0,61.0
club_contract_valid_until,19178.0,2022.7640004171446,1.2132025171866476,2021.0,2031.0,2021.0,2025.0,61.0
nationality_id,19239.0,58.60268205208171,50.29861391203941,1.0,219.0,11.0,167.0,0.0
nation_team_id,759.0,14480.848484848484,35328.73021738153,1318.0,111473.0,1322.0,111455.0,18480.0
nation_jersey_number,759.0,12.567852437417654,7.039115702087771,1.0,28.0,2.0,23.0,18480.0
weak_foot,19239.0,2.9461510473517336,0.671560478048015,1.0,5.0,2.0,4.0,0.0
skill_moves,19239.0,2.352461146629243,0.7676590344787977,1.0,5.0,1.0,4.0,0.0
international_reputation,19239.0,1.094183689380945,0.3710981752071121,1.0,5.0,1.0,2.0,0.0
release_clause_eur,18063.0,5374044.123346066,14948367.962500881,16000.0,373500000.0,289100.0,22800000.0,1176.0
pace,17107.0,68.21307067282399,10.933154561507958,28.0,97.0,49.0,85.0,2132.0
shooting,17107.0,52.3452972467411,14.051622953688101,18.0,94.0,27.0,73.0,2132.0
passing,17107.0,57.31256210907816,10.06896519025166,25.0,93.0,40.0,73.0,2132.0
dribbling,17107.0,62.56117378850763,9.651312199567759,27.0,95.0,45.0,77.0,2132.0
defending,17107.0,51.70363009294441,16.189746154376728,14.0,91.0,24.0,73.0,2132.0
physic,17107.0,64.82328871222306,9.791885635868047,29.0,90.0,47.0,79.0,2132.0
attacking_crossing,19239.0,49.577420863870266,18.03466131695005,6.0,94.0,13.0,73.0,0.0
attacking_finishing,19239.0,45.89443318259785,19.721022626464112,2.0,95.0,9.0,73.0,0.0
attacking_heading_accuracy,19239.0,51.78387650085763,17.29418252684362,5.0,93.0,13.0,74.0,0.0
attacking_short_passing,19239.0,58.867976506055406,14.490857807319856,7.0,94.0,25.0,76.0,0.0
attacking_volleys,19239.0,42.4638494724258,17.653328721077067,3.0,90.0,9.0,70.0,0.0
skill_dribbling,19239.0,55.660429336244086,18.784590140366028,4.0,96.0,12.0,77.0,0.0
skill_curve,19239.0,47.2689328967202,18.181085023876008,6.0,94.0,13.0,74.0,0.0
skill_fk_accuracy,19239.0,42.24902541712147,17.178590067641114,4.0,94.0,13.0,71.0,0.0
skill_long_passing,19239.0,53.07224907739487,15.026568932185066,9.0,93.0,23.0,73.0,0.0
skill_ball_control,19239.0,58.472009979728675,16.663721903687765,8.0,96.0,18.0,77.0,0.0
movement_acceleration,19239.0,64.65289256198348,15.167399449385732,14.0,97.0,33.0,85.0,0.0
movement_sprint_speed,19239.0,64.7149020219346,14.965426485553154,15.0,97.0,33.0,85.0,0.0
movement_agility,19239.0,63.50007796663028,14.86228452470993,18.0,96.0,34.0,84.0,0.0
movement_reactions,19239.0,61.450023389989084,9.042281207641352,25.0,94.0,46.0,76.0,0.0
movement_balance,19239.0,64.06861063464837,14.324788847506273,15.0,96.0,35.0,84.0,0.0
power_shot_power,19239.0,57.77685950413223,13.192224146510023,20.0,95.0,35.0,78.0,0.0
power_jumping,19239.0,64.81350382036489,12.122976897565113,22.0,95.0,42.0,83.0,0.0
power_stamina,19239.0,63.084879671500595,16.14527944693461,12.0,97.0,28.0,84.0,0.0
power_strength,19239.0,65.0077446852747,12.663517950076693,19.0,97.0,42.0,84.0,0.0
power_long_shots,19239.0,46.642704922293255,19.41158265576437,4.0,94.0,10.0,73.0,0.0
mentality_aggression,19239.0,55.53895732626436,16.972180768163998,10.0,95.0,23.0,80.0,0.0
mentality_interceptions,19239.0,46.6135454025677,20.677077097912825,3.0,91.0,12.0,74.0,0.0
mentality_positioning,19239.0,50.330214668122046,19.621601180421887,2.0,96.0,8.0,75.0,0.0
mentality_vision,19239.0,53.96460314985186,13.650481029216035,10.0,95.0,30.0,74.0,0.0
mentality_penalties,19239.0,47.85872446592858,15.768582591947187,7.0,93.0,17.0,71.0,0.0
mentality_composure,19239.0,57.92983003274598,12.159326410704017,12.0,96.0,36.0,76.0,0.0
defending_marking_awareness,19239.0,46.60174645251832,20.200806789158282,4.0,93.0,11.0,73.0,0.0
defending_standing_tackle,19239.0,48.04558448983835,21.232717907052557,5.0,93.0,12.0,75.0,0.0
defending_sliding_tackle,19239.0,45.90669993242892,20.755683442737006,5.0,92.0,12.0,73.0,0.0
goalkeeping_diving,19239.0,16.40610218826342,17.5740278866242,2.0,91.0,6.0,66.0,0.0
goalkeeping_handling,19239.0,16.192473621290087,16.83952849205467,2.0,92.0,6.0,63.0,0.0
goalkeeping_kicking,19239.0,16.05535630750039,16.564554017979486,2.0,93.0,6.0,62.0,0.0
goalkeeping_positioning,19239.0,16.229273870783306,17.05977893866491,2.0,92.0,6.0,64.0,0.0
goalkeeping_reflexes,19239.0,16.491813503820364,17.88483340321158,2.0,90.0,6.0,67.0,0.0
goalkeeping_speed,2132.0,36.43996247654784,10.751563246633594,15.0,65.0,20.0,55.0,17107.0
